name,about,site_operating_hours,suggested_trip_duration,rating,review_count,entrance_fee,address
Mabuhay Restop,"A must-visit place for every Philippine visitor! Located in the heart of the Philippines' national park, Rizal Park, Mabuhay Restop Travel Cafe & Museum offers unique shows, exceptional tours, and delicious food that will will give visitors a taste of the islands and local culture. - ""Manila Vanilla"" is a musical comedy, pop-cultural show with a sumptuous buffet dinner by the Philippines top theater writer-director (Nestor Torre) and musical maestro (Ryan Cayabyab). - ""Bayan Tour"" is a fun, interactive, walking tour about the Philippines and the Filipino in Rizal Park, which includes singing, live theater, art exhibit, museum tour (if open), light & sound show, and a surprise treat at the end.- ""Kalinga Tours"" are fun and memorable volun-tourism tours that allow visitors to experience the Philippines like never before!Come to Mabuhay Restop and see for yourself why it it's more fun in the Philippines!",,,4.5,39,7452.038666666665,"South Drive Area II, Rizal Park, Ermita Manila, Manila, Luzon 1000 Philippines"
The Manila Collectible Co.,"The Manila Collectible Co. (TMCC) is a CULTURESPACE--a Museum, Gift-Shoppe and Heritage Tour/Workshop provider, in the heart of Intramuros. We are inspired by pre-history, indigenous heritage and local creative industry. An inspirational venue, it teaches audiences about Philippine culture & heritage while giving guests the chance to join workshops and bring home one-of-a-kind gifts and food items",,< 1 hour,4.5,30,6772.362,"Fort Santiago Chamber # 8 Sta. Clara, Barangay 666 Intramuros, Manila, Luzon 1000 Philippines"
Toshie's Sports Bar,,,2-3 hours,4.5,18,7046.550000000001,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Dangwa Flower Market,,,,4.0,17,7162.4039999999995,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Tayuman • 7 min walk</div>"
Holiday Spa,"We provide high quality and relaxing massage services that will rejuvenate your body and mind. Our massage services include Swedish Massage (Deep Tissue Massage), Shiatsu Massage, Slimming Massage, Pinoy Hilot, Foot Massage and Foot Scrub. We also have complete amenities such as sauna, locker rooms, shower area, and bar/lobby, all of which will ensure your utmost comfort and relaxation. Holiday Spa: Campaigning for Healthy Living",,,4.0,24,6753.053333333334,
"Museum of Contemporary Art and Design (MCAD), Manila","As part of the artistic community of the College of Saint Benilde’s School of Design and Arts, the Museum of Contemporary Art and Design (MCAD) is a unique institution that offers the experience of and exposure to contemporary art and its various publics, with a focus on Manila, Philippines as context. Distinct for its position as a non-collecting institution, MCAD’s contemporary art exhibitions, public programs, as well as other cultural and art-inspired undertakings showcase the possibilities of technology, new media and presents content that encourages engagement with art and culture, its practice and production, as well as its presentation and interpretation.",10:00 AM - 2:00 PM,1-2 hours,4.5,17,6100.409333333334,"Dominga St Ground Floor, Benilde School of Design and Arts Campus, Manila, Luzon 1004 Philippines"
Prive,,,,4.5,12,7185.575333333332,
FAB,"Friendly Karaoke & Music Bar & Restaurant in Malate Fab Performers every night! International, Filipino, Chinese, Korean, Japanese and Indian songs",,2-3 hours,4.5,13,7439.140666666667,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Hobbit House,,,,3.5,28,8069.926666666666,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Explore Manila Tours,,9:00 AM - 5:00 PM,,5.0,154,,
Guilly's Night Club,"Guilly's Night Club is one of the most famous clubs in the Philippines. It is also one of the biggest with state of the art lights and sound system. It is open every day including on Sunday from 10 pm to 10 am. It has a mixed crowd of young and mature with full house every night. Located in #27 Tomas Morato, Quezon City, operating since 2005, it is one of the longest running nightclubs in Philippines. Always providing excellent fun, entertainment experience every day of the week. It offers very reasonable prices compared to other areas of Metro Manila but the entertainment experience is world class. Girls get free entrance and cocktail drink before 12 midnight. Its facilities are state of the art including Sky Box at 2nd floor overlooking ground floor providing a very unique experience. The design of Guilly's is remarkable been continuously upgraded to provide a feeling of a brand new club. Though it has existed for over 12 years, it still looks new and DJ lighting booth is world class along with its DJ’s. It has operated based on word of mouth only and recently it has made plans to add social media sites. They usually play a mix of popular songs of EDM, Top 40, House, Hip Hop is famous for Thursday nights. Starting May 1, Guillys will be open until 10 am in the morning daily for after hours party crowd along with people who cannot go to clubs at night. Overall: The best nightclub in Quezon City. It is one of the few places in the world where people do not mind going all the time if there schedule permits as the atmosphere is special. Opening Hours Everyday from 08:00 PM – 08:00 AM Guilly's Night Club #27 Tomas Morato Avenue, Timog 1103 Quezon City, Metro Manila, Philippines",8:00 PM - 8:00 AM,2-3 hours,4.0,13,7158.542000000001,"27 Tomas Morato Avenue Corner Sct. Albano Street, Manila, Luzon 1012 Philippines"
The Library,,,,4.5,10,7297.567333333334,"1739 Ma. Orosa Street, Manila, Luzon 1004 Philippines"
The Ritz Spa,,,,3.5,29,5745.123333333335,"1614 M. Adriatico Street, Malate, Manila, Luzon 1000 Philippines"
Exklusiv Nightclub,,,,4.5,7,10398.591999999999,"1917 Adriatico St Malate, Manila, Luzon 1004 Philippines"
Manila For A Day,,8:15 AM - 5:45 PM,,5.0,204,5304.261,
Club ZZYZX,,,,3.5,16,7583.340666666666,"J. Bocobo Street Corner Remedios Circle, Manila, Luzon 1004 Philippines"
Army Golf Course,,,,4.0,12,8230.809333333333,
Wellmanson,,,More than 3 hours,4.5,10,9827.046666666667,"<div class=""biGQs _P pZUbB KxBGd""></div>"
ePhilippines Adventure Travel and Destinations,,,,5.0,141,7389.632999999999,
Taipei Spa,,,,5.0,4,7355.4946666666665,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Uncharted Philippines Adventure Travel and Day Tours,,12:00 AM - 11:59 PM,,5.0,184,,
Che' Lu,,9:00 PM - 7:00 AM,,4.0,9,9829.594666666666,
Intramuros E-Trike Trip,"Enjoy a relaxing E-Trike (Electric Vehicle) ride through scenic beauties of Intramuros, the oldest district of Manila, the capital city of the Philippines. The customizable ride service from 60-min guides you to World Heritage Site, historic cathedral, museums, and local souvenir shops. It's a wonderful way to have a relaxed and informative experience in this historic center of Manila.",,1-2 hours,4.5,6,5826.222000000001,
VR Cafe,VR Cafe by Solidus Gaming is the most affordable amusement/entertainment place that offers VR and PS4 games in the Philippines. From as low as Php99 you can already enjoy the amazing and exciting world of virtual reality. We are the only cafe that offers CO-OPERATION VR GAME in the Philippines in which 4 players can play on a single console and monitor. Food and drinks are also served.,11:00 AM - 11:00 PM,1-2 hours,5.0,5,6814.842000000001,"1253 Pablo Ocampo Street San Andres Bukid, Manila, Luzon 1004 Philippines"
UBE Express,,,,3.5,42,5509.554000000001,
Japan Spa Yamachu,,11:00 AM - 4:00 AM,More than 3 hours,4.0,15,7061.997333333333,"1766 A. Mabini Street Malate, Manila, Luzon 1004 Philippines"
Bed,,,,4.5,4,7239.64,
Si-Kat Bus and Ferry,,,,4.0,14,7108.339333333333,"<div class=""biGQs _P pZUbB KxBGd""></div>"
SalaThai Spa,,,,4.5,4,7146.957333333333,"Malate Adriatico Grand Residences M. Adriatico Street, Manila, Luzon 1000 Philippines"
Woola Filipinas - Philippines: Viajes a medida - Voyages sur mesure,,,,5.0,51,10121.817000000001,
INTRO Travel - Philippines,,,,5.0,66,5881.561,
Mont Albo Massage Hut,,,,4.0,5,6181.507333333332,"G/F 2474 Reyes Bldg. Taft Ave. cor. Estrada St., Malate, Manila, Luzon 1000 Philippines"
Nuat Thai Foot & Body Massage,,,,2.5,56,9637.818,"1200 A. Mabini St. 2F, Mabini Art Center, Manila, Luzon 1000 Philippines"
Asian Massage Malate,,12:00 AM - 11:59 PM,,4.0,4,6366.873333333334,
Smokey Tours,,Closed until further notice,,5.0,512,5559.140000000001,
Goong Oriental Spa,"Our sweddish classic full body massage that works predominantly on the muscles, soft tissues and joints. It's good experience of your health!",,1-2 hours,4.5,4,6420.938666666666,"1731 Luis Ma. Guerrero Street, Manila, Luzon 1004 Philippines"
Filipino Travel Center,,,,4.5,114,6843.149,
Don't Skip Manila City Tours,,,,5.0,66,,
Ohayami Trans,,,More than 3 hours,2.5,46,8015.861999999999,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Legarda • 10 min walk</div>"
Old Manila Walks - Day Tours,,,,4.5,129,5304.261,
Mananzan Handicrafts,,,,3.0,13,6489.176000000001,"# 8 General Luna Street corner Sta. Clara Street, Manila, Luzon 1002 Philippines"
Baan Khun Thai,,12:00 PM - 11:30 PM,1-2 hours,5.0,2,6698.988,"1205 Masangkay Street Tondo, Manila, Luzon 1012 Philippines"
Guide to the Philippines,,,,5.0,63,5474.103000000001,
2 Hands Massage Services - SM City Manila,,,,3.5,3,6330.804,
Conway's Bar,,,,5.0,1,6698.988,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Ayala • 4 min walk</div>"
Coda Lines,,,,4.5,2,6698.988,
Traveling Spoon,,,,5.0,57,,
Tourist Driver Manila,,,,5.0,45,,
La Vie En Rose,,,2-3 hours,5.0,1,6444.766000000001,
Babaylan Spa and Allied,,,1-2 hours,4.0,1,6698.988,"Loyola Street KB Building, Manila, Luzon 1008 Philippines"
"Blue Horizons Travel and Tours, Inc",,,,4.5,26,,
Crystal Jade Wellness and Therapeutic,,,,3.0,1,7208.089,"<div class=""biGQs _P pZUbB KxBGd""></div>"
Saturday Future Market,,,,3.0,1,7208.089,"<div class=""biGQs _P pZUbB mtnKn KxBGd"">Carriedo - Quiapo • 5 min walk</div>"
Farinas Transport,,,,4.0,1,7208.089,
Cole Nail Salon and Spa,,10:00 AM - 12:00 AM,,2.0,1,6698.988,"1649 Augusto Francisco San Andres Bukid, Manila, Luzon 1017 Philippines"
Trail Adventours,,,,4.5,22,8065.410000000001,
Taxi2Airport Manila,"Taxi2Airport.com is an online reservation and booking system for airport transfers all around the globe. We are committed to providing safe and reliable transfers over all areas to and from all airports, cruise ports, and main train stations. Our service operates across 150+ countries and 1500+ airports with an excellent customer satisfaction rating of 4.5 out of 5 based on 35k+ reviews.",,,1.0,1,7208.089,
White Knight Electric Chariot Day Tours,,8:00 AM - 6:00 PM,,4.5,90,5449.0779999999995,
Guide to the Philippines,,,,4.5,20,10266.634000000002,
Abraham Tours Philippines,,,,5.0,10,,
Jb Quemado,,,,5.0,9,,
MD Tours and Transfer Services,"A travel, tours and transfer services that is owned by 2 people who loves travelling and know how important a first impression is when visiting a country and it always starts with your transportation from the Airport to your Hotel. Your first experience that we promise to serve 5 stars service to give you a good first impression of how Hospitable our country can be. ",,,1.0,1,7208.089,
Hidden Valley Tour (Manila),,,,4.5,31,,
Quicktransfer - Manila,"As QuickTransfer we have been passionately realizing services for the travel industry since 2009. We are dedicated professionals providing high-class transport services on all continents.
Extensive international experience makes us a trustworthy choice for everyone in need of reliable, safe and punctual transfer service.",,,1.0,1,7208.089,
Trebie's Box Travel and Tours,,,,5.0,14,5964.628,
Eco Explorations,,,,5.0,9,6148.025,
Suntransfers,,,,1.5,14,7208.089,
Bookaway,"Search, find, compare and book your ground and sea transportation online. Take a bus, train or ferry to the world’s best locations. Book online, travel freely",,,1.5,9,8172.882666666668,
Tanlines Philippines,,,,4.5,52,5501.2119999999995,
Castillan Carriage and Tour Services,,9:00 AM - 5:00 PM,,4.5,14,6694.509000000001,
Manila Who,,11:00 AM - 3:30 PM,,4.5,20,7208.089,
Esquieres Travel Taal Volcano Crater Tour,,,,4.0,12,6993.759,
Great Sights Travel and Tours Corporation,,,,5.0,3,5964.628,
Prestige Cruises,,,,2.5,51,7094.204,
Train Spread,,,,4.5,7,,
Greg Dorris Tours,,,,5.0,3,7208.089,
Indochina Odyssey Tours,,,,5.0,4,7208.089,
Eric ZIem,,,,5.0,1,6727.295,
Merck-MLI Travel and Tours,,,,3.5,3,,
Bridgeway Travel and Tours,,,,5.0,1,5964.628,
RIVEOE TRAVEL CORPORATION,,,,4.0,4,,
Tripinas,,,,5.0,1,7208.089,
Reroute Travel Services,,,,5.0,1,,
Rainbow Asia,,,,5.0,2,,
Marjorie Jayne Zamudio,,,,5.0,1,6148.025,
Ascent,,,,5.0,1,,
DW Travel and Tours Inc,,,,3.5,4,7208.089,
Joner Germina,,,,5.0,1,,
Intramuros After Dark: Night Walking Tour And Beyond,,9:00 PM - 12:00 AM,,5.0,1,,
Wayfarer Tours,,,,5.0,1,5964.628,
Beyond the Myths Manila Tour,,,,5.0,1,5964.628,
Elife Las Vegas,,,,3.0,2,,
